TIC ID,Notes,Planet Radius (Earth Radii),Period (days),Transit Duration (Hours),Signal Detection Efficiency (SDE),Classification,Observed Sectors [String],N Sectors Observed,dist,ra,dec,eclat,eclong,Teff,logg,M_star,R_star,rho,Tmag,Vmag,Gmag,rmag,imag,Zmag,Hmag,Kmag
47176598,,,,,,,Sector  8,1.0,39.26501,145.553448781548,-7.02945895301694,-19.6082554061372,150.324171724418,3269.0,4.90379,0.25,0.263,9.11975,11.3611,13.986,12.66,,,,9.215,8.916
441803471,,,,,,,"Sector 14, Sector 15, Sector 16, Sector 17, Sector 18, Sector 19, Sector 20, Sector 21, Sector 22, Sector 23, Sector 24, Sector 25, Sector 26",13.0,15.5704,265.673155847066,75.6218819407415,80.8369848965376,96.7563449062281,3135.0,5.02619,0.163,0.198,17.413,11.4694,14.325,12.8537,,,,9.117,8.824
27353549,,,,,,,"Sector 16, Sector 23",2.0,37.105,214.331317024251,41.4066781797864,50.8125287775469,191.410721606025,3395.0,4.8314,0.338,0.332,6.26469,11.5615,14.004,12.7842,14.473,12.3043,11.7344,9.428,9.189
323688094,,,,,,,Sector  8,1.0,37.7162,137.411341372922,8.4378510753603,-7.56470208297153,137.278128980206,3227.0,4.90326,0.306,0.306,9.0941,12.366,15.104,13.7032,14.4885,13.4167,12.7027,10.072,9.796
289432730,,,,,,,"Sector 15, Sector 16",2.0,51.8056,315.249125059463,51.0540707714774,62.8223657412914,347.7828132718,3487.0,4.71703,0.493,0.468,3.63227,11.3076,13.556,12.4732,,,,9.308,9.074
271169413,,,,,,,Sector 11,1.0,31.6354,211.013353074131,-30.0130653649381,-16.3469936185759,219.340573916052,3476.0,4.80232,,0.426766991615295,5.42073,10.9139,13.115,12.0797,,,,8.831,8.619
13960751,,,,,,,Sector 17,1.0,27.4746,13.7003402300338,27.5176753469598,19.8978484856342,23.6033134709747,3166.0,4.94672,0.231,0.248,11.4582,12.103,14.999,13.4774,14.3667,15.8349,11.8426,9.747,9.454
22247626,,,,,,,Sector 10,1.0,15.646,183.666608357139,-46.0539708282881,-40.0104890914691,205.282670574284,2967.0,5.11256,0.135,0.178,26.9478,12.3024,15.8,13.7964,,,,9.751,9.441
447382925,,,,,,,Sector 12,1.0,14.5807,251.979808331839,-65.1532221000774,-42.3463610196098,259.870349662224,3249.0,5.05369,0.173,0.205,20.0566,11.3234,14.29,12.637,,,,9.17,8.879
369327947,,,,,,,"Sector 12, Sector 13",2.0,12.4814,290.226570819531,-82.5544913859568,-59.4718680313287,275.059947477038,3312.0,4.93979,,0.287497013807297,11.0431,10.1508,13.0,11.4174,,,,8.004,7.686
