TIC ID,Notes,Planet Radius (Earth Radii),Period (days),Transit Duration (Hours),Signal Detection Efficiency (SDE),Classification,Observed Sectors [String],N Sectors Observed,dist,ra,dec,eclat,eclong,Teff,logg,M_star,R_star,rho,Tmag,Vmag,Gmag,rmag,imag,Zmag,Hmag,Kmag
240622310,,,,,,,"Sector 15, Sector 16",2.0,68.4229,326.301830571087,42.4292460825462,51.4351070780777,350.083944070669,3267.0,4.7743,0.322,0.319,4.73416,12.6149,15.213,13.9281,,,,10.328,10.085
158461622,,,,,,,"Sector 15, Sector 16, Sector 22, Sector 23",4.0,46.2845,219.700980521382,59.4170741087965,66.7996562310507,173.549189535417,3288.0,4.89858,0.295,0.297,8.87178,12.727,15.293,14.026,14.6653,13.9567,12.5327,10.446,10.203
1630433,,,,,,,Sector 10,1.0,22.757,188.185211141604,-15.5152015841832,-11.0024951739912,193.686979671403,2925.0,5.14284,0.15,0.189,31.2584,13.3622,16.72,14.8852,,,,10.851,10.462
166648874,,,,,,,Sector 22,1.0,55.5211,166.118962894335,30.458750435002,22.5090040469503,154.934901905699,3272.0,4.82521,,0.401575,6.07264,12.6196,15.193,13.927,,,,10.275,10.016
347426057,,,,,,,Sector 18,1.0,28.3112,47.0988161688245,43.035698534057,24.4034296806873,56.8807088436081,3354.0,5.00283,0.191,0.218,15.418,12.3221,14.832,13.5718,,,,10.199,9.95
66676402,,,,,,,Sector 19,1.0,39.5112,75.580827631303,61.1603550069994,38.1601725720146,81.2130003635663,3177.0,4.94978,0.178,0.209,11.6464,12.9428,16.4,14.309,,,,10.537,10.267
224298134,,,,,,,"Sector 15, Sector 21, Sector 22",3.0,37.066,185.339398524995,57.75246710573,52.722540630658,151.299397820593,3577.0,4.75448,,0.48,4.31188,10.8515,12.816,11.9588,12.481,11.4202,11.2665,8.83,8.61
235678745,,,,,,,"Sector 14, Sector 15, Sector 16, Sector 17, Sector 18, Sector 19, Sector 20, Sector 21, Sector 22, Sector 23, Sector 24, Sector 25, Sector 26",13.0,41.9176,285.633044263632,75.4186052923696,79.8561798367392,67.343635866479,3746.0,4.76979,,0.46,4.63395,11.0788,13.19,12.094,,,,9.186,8.988
300710077,,,,,,,"Sector  1, Sector  2, Sector  3, Sector  5, Sector  6, Sector  7, Sector  8, Sector  9, Sector 10, Sector 11, Sector 12, Sector 13",12.0,43.407,115.268484216621,-71.3044021862841,-79.8581263921775,219.009623485503,3461.0,4.85358,,0.371140003204346,7.01409,11.9802,14.23,13.1643,,,,9.954,9.704
1668887,,,,,,,Sector 10,1.0,31.2309,195.539183225864,-17.8182257564645,-10.3287554320259,201.197218812428,2971.0,5.10994,0.141,0.182,26.6018,13.776,17.31,15.2611,,,,11.203,10.924
293561794,,,,,,,Sector  4,1.0,21.1735,28.3781436889975,1.79884653110075,-9.21649980192638,27.0137371004015,2990.0,5.08077,0.16,0.196,23.0032,12.7234,16.02,14.2059,15.3495,13.8976,12.3913,10.234,9.879
388916175,,,,,,,Sector 22,1.0,39.3434,175.026771873066,10.1123818338458,7.30455328578365,171.410465766476,3352.0,4.88122,0.348,0.34,8.09726,12.1005,14.577,13.3548,13.9726,12.8586,11.9298,9.989,9.711
76349247,,,,,,,Sector 26,1.0,11.353,274.517611642536,38.7757238926154,62.0968162256448,277.539823204181,3412.0,4.90739,0.289,0.293,9.29511,9.54366,11.29,10.7432,,,,7.487,7.222
177175753,,,,,,,Sector 17,1.0,21.9029,356.836049555261,42.6356675014531,39.6125918622663,17.540438611911,2992.0,5.10519,0.119,0.167,25.9835,12.8622,16.193,14.3444,15.4895,14.0469,12.5795,10.35,10.121
199502517,,,,,,,Sector 23,1.0,31.7919,206.295982480822,28.8670077093775,36.6740907774237,191.792287746475,3411.0,4.85688,0.373,0.362,7.13456,11.3936,13.605,12.6086,13.2294,13.4466,12.6469,9.311,9.054
160270470,,,,,,,"Sector 14, Sector 20, Sector 21",3.0,24.7134,183.2438134883,74.2801395808826,62.7809857860155,126.256061639107,3349.0,4.92941,0.207,0.23,10.4491,11.4557,14.1,12.7056,,,,9.373,9.087
188691615,,,,,,,"Sector 24, Sector 25",2.0,17.8951,260.192946145123,49.2556142572613,71.9784871502779,248.93995974321,3239.0,5.06107,0.149,0.188,20.8252,11.7559,14.68,13.0817,,,,9.641,9.376
317066510,,,,,,,"Sector 18, Sector 19, Sector 24, Sector 25, Sector 26",5.0,37.6567,343.107559405476,81.618647393827,67.5977328044632,68.5330143397471,3480.0,4.85226,0.287,0.291,6.96687,11.7528,13.894,12.9634,,,,9.65,9.385
420112587,,,,,,,"Sector 14, Sector 15, Sector 16, Sector 17, Sector 19, Sector 20, Sector 21, Sector 22, Sector 23, Sector 24, Sector 25, Sector 26",12.0,30.5373,290.173872110355,73.1963457548915,80.4863409867796,52.9001114507436,3212.0,4.98029,,0.254522,13.6928,12.4989,13.99,13.8554,,,,10.257,9.944
249831571,,,,,,,Sector 18,1.0,23.4622,37.7689366922399,52.7567503484654,35.6574614207829,53.928685696183,3059.0,5.08497,0.155,0.192,23.4928,12.8194,16.34,14.255,,,,10.4,10.131
388566007,,,,,,,"Sector 18, Sector 19, Sector 24, Sector 25, Sector 26",5.0,25.6066,359.506686593514,78.6084220542438,64.1691574585032,63.0449710392328,3482.0,4.91523,0.242,0.256,9.6902,11.3118,13.511,12.4755,,,,9.299,9.051
357509778,,,,,,,"Sector 11, Sector 12",2.0,22.5687,186.165815768054,-82.0981156056376,-64.5415219889522,251.459749738288,3168.0,5.05148,0.195,0.221,19.8325,12.3735,15.16,13.7466,,,,10.057,9.812
124199788,,,,,,,"Sector  6, Sector  7",2.0,27.2273,104.078940005656,-8.59625300851386,-31.2404457813095,106.33884271466,3252.0,4.86236,0.229,0.246,7.33942,11.2899,13.83,12.6049,,,,9.069,8.761
177697529,,,,,,,Sector 17,1.0,19.2456,359.956285559394,47.7623656702933,42.8025503814381,23.6249718474462,2964.0,5.11831,0.137,0.179,27.7224,12.8097,15.13,14.3053,,,,10.263,9.93
257798328,,,,,,,"Sector 25, Sector 26",2.0,10.7533,259.970689674049,26.500739797888,49.4581432226973,256.126839086463,3119.0,4.93836,0.279,0.284,10.9589,10.0711,12.47,11.4556,,,,7.637,7.351
